date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2015-01-01,2,-6,0.0,8.7,1,1,72,02:57 PM,04:25 AM,07:57 AM,05:26 PM,-14,-9,-3,-9,35,19,43,0.0,1024,2,10,238,22
2015-01-02,3,-2,0.0,7.0,1,1,80,03:44 PM,05:24 AM,07:57 AM,05:27 PM,-3,-2,0,-2,15,30,81,0.0,1027,3,9,209,9
2015-01-03,13,1,0.0,3.6,1,1,87,04:34 PM,06:18 AM,07:57 AM,05:28 PM,7,4,7,4,34,94,96,8.9,1016,13,8,161,19
2015-01-04,13,-3,0.0,3.6,1,1,94,05:28 PM,07:09 AM,07:57 AM,05:29 PM,4,2,6,2,39,88,86,2.2,1015,13,9,251,26
2015-01-05,-7,-9,0.0,8.7,1,1,100,06:22 PM,07:54 AM,07:57 AM,05:30 PM,-17,-14,-7,-14,22,28,46,0.0,1036,-7,10,274,17
2015-01-06,-4,-10,0.0,3.7,1,1,100,07:18 PM,08:34 AM,07:57 AM,05:31 PM,-9,-11,-6,-11,17,69,79,0.0,1027,-4,10,261,12
2015-01-07,-9,-18,0.0,3.7,1,1,84,08:14 PM,09:11 AM,07:57 AM,05:32 PM,-16,-22,-13,-22,33,71,79,0.0,1035,-9,10,298,23
2015-01-08,-8,-19,0.0,5.3,1,1,77,09:10 PM,09:45 AM,07:57 AM,05:33 PM,-20,-21,-14,-21,25,41,63,0.0,1033,-8,10,231,17
2015-01-09,-5,-12,0.0,7.0,1,1,69,10:05 PM,10:15 AM,07:57 AM,05:33 PM,-14,-17,-9,-17,35,79,68,0.0,1027,-5,10,274,25
2015-01-10,-6,-15,0.0,8.7,1,1,62,11:00 PM,10:45 AM,07:57 AM,05:34 PM,-17,-16,-11,-16,16,14,60,0.0,1036,-6,10,227,10
2015-01-11,1,-7,0.0,5.3,1,1,55,11:56 PM,11:14 AM,07:57 AM,05:35 PM,-9,-6,-2,-6,20,64,63,1.3,1031,1,9,198,11
2015-01-12,2,-4,0.0,3.7,1,1,48,No moonrise,11:44 AM,07:57 AM,05:37 PM,-1,-4,0,-4,21,89,93,0.0,1027,2,7,260,14
2015-01-13,-3,-6,0.1,8.7,1,1,40,12:52 AM,12:16 PM,07:56 AM,05:38 PM,-9,-11,-5,-11,24,51,76,0.1,1035,-3,9,46,17
2015-01-14,-3,-8,0.0,7.0,1,1,33,01:50 AM,12:51 PM,07:56 AM,05:39 PM,-10,-8,-5,-8,9,37,73,0.0,1029,-3,10,169,7
2015-01-15,2,-5,0.0,8.7,1,1,26,02:49 AM,01:30 PM,07:56 AM,05:40 PM,-8,-4,-2,-4,11,27,66,0.0,1023,2,10,242,7
2015-01-16,4,-3,0.0,7.0,1,1,19,03:49 AM,02:15 PM,07:55 AM,05:41 PM,-2,-3,0,-3,15,43,86,0.0,1023,4,10,218,9
2015-01-17,10,-1,0.0,5.4,1,1,11,04:50 AM,03:07 PM,07:55 AM,05:42 PM,1,-0,4,-0,32,37,85,0.0,1017,10,8,189,17
