OperatingDate,UnitName,cyHighTemperature,cyImpactName,cyLowTemperature,cyTotal,cyWeather1,cyWeather2
6/1/2019,Adventure Aquarium            ,83,No weather impact        ,61,3468,L61/H83/A73/P0.02/Partly Cloudy/Sticky                      ,                                                            
6/2/2019,Silver Dollar City            ,89,No weather impact        ,63,12588,L63/H87/A75/Mostly Sunny/Sticky                             ,                                                            
6/2/2019,Dollywood                     ,85,No weather impact        ,60,11219,L60/H85/A73/Mostly Sunny/Comfortable                        ,                                                            
6/2/2019,Dollywood Splash Country      ,85,No weather impact        ,60,6551,L60/H85/A73/Mostly Sunny/Comfortable                        ,                                                            
6/2/2019,Dollywood Cabins              ,0,                         ,0,448,                                                            ,                                                            
6/2/2019,DreamMore Resort              ,0,                         ,0,296,                                                            ,                                                            
6/2/2019,Stone Mountain                ,87,No weather impact        ,67,1944,L67/H87/A75/P0.08/Mostly Sunny/Sticky                       ,                                                            
6/2/2019,White Water                   ,89,No weather impact        ,63,1680,L63/H87/A75/Mostly Sunny/Sticky                             ,                                                            
6/2/2019,Wild Adventures               ,96,No weather impact        ,69,4234,L69/H96/A83/Clear/Sunney/Sticky                             ,                                                            
6/2/2019,Newport Aquarium              ,82,No weather impact        ,62,2508,L62/H81/A72/Mostly Sunny/Comfortable                        ,                                                            
6/2/2019,Adventure Aquarium            ,84,No weather impact        ,63,3101,L63/H83/A71/P0.30/Mostly Sunny/Sticky                       ,                                                            
6/3/2019,Silver Dollar City            ,85,Precipitation            ,62,8768,L62/H82/A71/P0.40/Partly Cloudy/Sticky                      ,Substantial Heavy Rain                                      
6/3/2019,Dollywood                     ,81,No weather impact        ,58,11380,L58/H81/A70/Mostly Sunny/Pleasant                           ,                                                            
6/3/2019,Dollywood Splash Country      ,81,No weather impact        ,58,2880,L58/H81/A70/Mostly Sunny/Pleasant                           ,                                                            
6/3/2019,Dollywood Cabins              ,0,                         ,0,0,                                                            ,                                                            
6/3/2019,DreamMore Resort              ,0,                         ,0,303,                                                            ,                                                            
6/3/2019,Stone Mountain                ,87,No weather impact        ,67,1252,L67/H88/A78/Mostly Sunny/Comfortable                        ,                                                            
6/3/2019,White Water                   ,85,Precipitation            ,62,815,L62/H82/A71/P0.40/Partly Cloudy/Sticky                      ,Substantial Heavy Rain/Cloudy                               
6/3/2019,Wild Adventures               ,98,No weather impact        ,69,1541,L69/H98/A84/Mostly Sunny/Sticky                             ,                                                            
6/3/2019,Newport Aquarium              ,76,No weather impact        ,51,1457,L51/H76/A65/Mostly Sunny/Pleasant                           ,                                                            
6/3/2019,Adventure Aquarium            ,71,No weather impact        ,56,1185,L56/H72/A64/Clear/Sunney/Pleasant                           ,                                                            
6/4/2019,Silver Dollar City            ,94,No weather impact        ,65,7102,L65/H87/A76/P0.01/Partly Cloudy/Uncomfortable               ,                                                            
6/4/2019,Dollywood                     ,85,No weather impact        ,54,11423,L54/H85/A70/Partly Cloudy/Comfortable                       ,                                                            
6/4/2019,Dollywood Splash Country      ,85,No weather impact        ,54,5224,L54/H85/A70/Partly Cloudy/Comfortable                       ,                                                            
6/4/2019,Dollywood Cabins              ,0,                         ,0,0,                                                            ,                                                            
6/4/2019,DreamMore Resort              ,0,                         ,0,289,                                                            ,                                                            
6/4/2019,Stone Mountain                ,85,No weather impact        ,69,1812,L69/H84/A75/Mostly Sunny/Comfortable                        ,                                                            
6/4/2019,White Water                   ,94,No weather impact        ,65,1088,L65/H87/A76/P0.01/Partly Cloudy/Uncomfortable               ,                                                            
6/4/2019,Wild Adventures               ,101,No weather impact        ,70,1629,L70/H100/A85/P0.16/Mostly Sunny/Sticky                      ,Some Light Rain                                             
6/4/2019,Newport Aquarium              ,81,No weather impact        ,55,1434,L55/H81/A69/Mostly Sunny/Pleasant                           ,                                                            
6/4/2019,Adventure Aquarium            ,73,No weather impact        ,51,1898,L51/H73/A64/Mostly Sunny/Pleasant                           ,                                                            
6/5/2019,Silver Dollar City            ,96,No weather impact        ,69,8850,L69/H91/A78/P0.05/Partly Cloudy/Uncomfortable               ,                                                            
6/5/2019,Dollywood                     ,84,No weather impact        ,66,7460,L66/H81/A72/P0.20/Partly Cloudy/Sticky                      ,Some Light Rain                                             
6/5/2019,Dollywood Splash Country      ,84,Precipitation            ,66,2031,L66/H81/A72/P0.20/Partly Cloudy/Sticky                      ,Substantial Heavy Rain/Cloudy                               
6/5/2019,Dollywood Cabins              ,0,                         ,0,0,                                                            ,                                                            
6/5/2019,DreamMore Resort              ,0,                         ,0,300,                                                            ,                                                            
6/5/2019,Stone Mountain                ,87,No weather impact        ,69,1339,L69/H83/A76/Mostly Cloudy/Uncomfortable                     ,                                                            
6/5/2019,White Water                   ,96,No weather impact        ,69,1777,L69/H91/A78/P0.05/Partly Cloudy/Uncomfortable               ,Some Light Rain                                             
6/5/2019,Wild Adventures               ,99,No weather impact        ,72,1636,L72/H94/A82/P0.13/Mostly Sunny/Oppressive                   ,Some Light Rain                                             
6/5/2019,Newport Aquarium              ,90,No weather impact        ,67,2489,L67/H85/A72/P0.49/Mostly Cloudy/Sticky                      ,                                                            
6/5/2019,Adventure Aquarium            ,86,No weather impact        ,64,1650,L64/H84/A74/P0.53/Partly Cloudy/Sticky                      ,                                                            
