date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2015-01-01,8,-3,0.0,8.7,1,1,72,03:00 PM,04:15 AM,07:45 AM,05:32 PM,-8,0,2,0,13,21,47,0.1,1027,8,10,245,8
2015-01-02,8,2,0.0,5.4,1,1,80,03:48 PM,05:13 AM,07:45 AM,05:32 PM,3,4,5,4,9,61,89,0.5,1027,8,8,227,5
2015-01-03,17,5,0.0,7.0,1,1,87,04:38 PM,06:07 AM,07:45 AM,05:33 PM,9,10,11,10,18,59,89,0.6,1021,17,7,157,10
2015-01-04,14,4,0.0,5.4,1,1,94,05:31 PM,06:58 AM,07:45 AM,05:34 PM,10,9,11,9,25,87,93,7.8,1018,14,7,240,16
2015-01-05,2,-3,0.1,8.7,1,1,100,06:25 PM,07:44 AM,07:45 AM,05:35 PM,-5,-4,-1,-4,15,36,75,0.1,1033,2,9,259,11
2015-01-06,5,-3,0.0,8.7,1,1,100,07:20 PM,08:25 AM,07:45 AM,05:36 PM,-6,-3,1,-3,20,11,65,0.0,1026,5,10,263,12
2015-01-07,-3,-13,0.0,3.7,1,1,84,08:14 PM,09:03 AM,07:45 AM,05:37 PM,-12,-12,-6,-12,21,54,64,0.0,1030,-3,9,273,17
2015-01-08,-2,-15,0.0,8.7,1,1,77,09:09 PM,09:37 AM,07:45 AM,05:38 PM,-24,-12,-8,-12,12,14,30,0.0,1035,-2,10,210,8
2015-01-09,-0,-7,0.0,8.7,1,1,69,10:02 PM,10:09 AM,07:45 AM,05:38 PM,-17,-9,-4,-9,23,10,39,0.0,1027,-0,10,264,14
2015-01-10,2,-10,0.0,8.7,1,1,62,10:56 PM,10:40 AM,07:45 AM,05:39 PM,-14,-6,-4,-6,8,2,50,0.0,1035,2,10,129,5
