date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2015-01-01,1,-4,0.0,3.7,2,2,72,02:38 PM,03:57 AM,07:26 AM,05:08 PM,-5,-4,-1,-4,13,66,75,3.4,1027,1,8,250,9
2015-01-02,5,0,0.0,3.7,1,1,80,03:26 PM,04:55 AM,07:26 AM,05:09 PM,1,0,2,0,10,95,93,4.9,1024,5,6,126,7
2015-01-03,8,3,0.0,3.7,1,1,87,04:16 PM,05:50 AM,07:26 AM,05:10 PM,3,2,5,2,16,84,92,5.6,1013,8,10,199,11
2015-01-04,3,-7,0.0,5.4,2,2,94,05:09 PM,06:39 AM,07:26 AM,05:10 PM,-9,-10,-3,-10,32,57,66,0.0,1029,3,9,312,24
2015-01-05,2,-8,0.0,8.7,2,2,100,06:03 PM,07:25 AM,07:26 AM,05:11 PM,-20,-9,-5,-9,18,15,29,0.0,1037,2,10,225,11
2015-01-06,1,-4,0.0,8.7,2,2,100,06:59 PM,08:06 AM,07:26 AM,05:12 PM,-8,-6,-2,-6,24,8,61,0.0,1031,1,10,275,15
2015-01-07,-3,-12,0.0,8.7,2,2,84,07:54 PM,08:43 AM,07:26 AM,05:13 PM,-17,-15,-8,-15,28,25,48,0.0,1043,-3,9,264,22
2015-01-08,-1,-14,0.0,8.7,2,2,77,08:48 PM,09:18 AM,07:26 AM,05:14 PM,-17,-14,-8,-14,22,11,49,0.0,1034,-1,10,194,15
2015-01-09,-4,-8,0.0,8.7,2,2,69,09:43 PM,09:50 AM,07:26 AM,05:15 PM,-16,-12,-6,-12,24,17,49,0.0,1034,-4,10,331,16
2015-01-10,2,-11,0.0,8.7,2,2,62,10:36 PM,10:20 AM,07:26 AM,05:16 PM,-18,-9,-5,-9,16,7,37,0.0,1033,2,10,141,10
2015-01-11,3,-2,0.0,3.7,1,1,55,11:31 PM,10:50 AM,07:26 AM,05:17 PM,-5,-3,0,-3,14,91,73,3.1,1025,3,7,155,9
2015-01-12,1,-5,0.0,5.4,2,2,48,No moonrise,11:22 AM,07:25 AM,05:18 PM,-2,-5,0,-5,22,73,88,0.4,1029,1,6,137,16
